Coefficient,MAE,ExpVar
1.2911893782630137,5.53109010511069,0.9239026961723045
0.3004071226813103,5.53109010511069,0.9239026961723045
0.10177097041026095,5.53109010511069,0.9239026961723045
0.3731847291381051,5.53109010511069,0.9239026961723045
0.7713946333672974,5.53109010511069,0.9239026961723045
1.5786617070721507,5.53109010511069,0.9239026961723045
1.3808218390392488,5.53109010511069,0.9239026961723045
0.37801424927281374,5.53109010511069,0.9239026961723045
1.2665717230013596,5.53109010511069,0.9239026961723045
0.7175923631151839,5.53109010511069,0.9239026961723045
1.6658042518956673,5.53109010511069,0.9239026961723045
0.1491662510170514,5.53109010511069,0.9239026961723045
0.2326286884740373,5.53109010511069,0.9239026961723045
0.438417157465973,5.53109010511069,0.9239026961723045
0.40284262450982744,5.53109010511069,0.9239026961723045
0.8296411716826826,5.53109010511069,0.9239026961723045
0.3104772484275656,5.53109010511069,0.9239026961723045
1.982707614845333,5.53109010511069,0.9239026961723045
19.89339730588012,5.53109010511069,0.9239026961723045
0.09540706524526521,5.53109010511069,0.9239026961723045
0.6063070233214445,5.53109010511069,0.9239026961723045
0.7666226178091244,5.53109010511069,0.9239026961723045
